,Data,intent
0,فاتحين امتى,information
1,عندكو اكل ايه,menu
2,في مينيم شارج,prices
3,في ديليفيري,information
4,ينفع احجز قبلها,Reservation system
5,هيبقي الساعة كام,information
6,ممكن رقم الدليفرى بتاعكم,information
7,لو عاوزه اجي احجز قبلها بيوم ينفع,Reservation system
8,عاوزه المنيو,menu
9,نظام الحجز ايه فى المحل الجديد,Reservation system
10,عايز نعرف هتبقا ماشيه ازاي في رمضان,Reservation system
11,نحجز ازاي عشان احنا من بعيد نجي علي امتي كدة,Reservation system
12,نظام الحجز في رمضان ازاي فيه تليفون ولا ايه النظام,Reservation system
13,هتكونو شغلين في العيد,information
14,انا عايز احجز طربيزه واجي قبل الفطار بقليل ما هو السبيل,Reservation system
15,ممكن اعرف في حجز ولا اجي علي طول ولو في حجز بحجز ازاي,Reservation system
16,يعنى لو عزنا نفطر بقي نيجى على طول ولا نحجز ونيجى الساعه كام,Reservation system
17,الرقم فين,information
18,ممكن إستفسار هوه العمل في رمضان لحد الساعة كام ؟ ؟,information
19,الفطار في رمضان محتاج حجز حضور ولا ينفع التليفون,Reservation system
20,ازاى يتم الحجز,Reservation system
21,كنت عايز اعرف احجز الاول ولا اجى وانا ونصيبى,Reservation system
22,هو حضرتك لو جيت الساعه 4 الاقي حجز ل 7 افراد,Reservation system
23,اقدر احجز من خلال التليفون,Reservation system
24,هو فى مكان للركنة ؟,information
25,بنعمل حجز ولا ايه نظام رمضان,Reservation system
26,عنوان اى حضرتك واقرب محِطة مترو,information
27,مفيش دليفري للمنصوره,information
28,طيب هو بالحجز ولا ايه!؟,Reservation system
29,لو حبيت اجى والاولاد اجى من الساعه كام قبل الفطار,information
30,لو سمحت الحجز هيبقى ازاى,Reservation system
31,ممكن المنيو الجديدة,menu
32,عاوزين المنيو !!؟,menu
33,يعني لو جيت علي الساعه 5 هلحق ولا اجي قبل كده,Reservation system
34,هو انت قافل من اول رمضان,information
35,طب بكرة مش فيري بمناسبة الافتتاح,offers
36,في دليفري لمدينة نصر,information
37,المكان فين لو سمحت,information
38,الدليفري هيشتغل ولو هيشتغل هتستقبل الطلبات من الساعه كام,information
39,المطعم بيفتح الساعه كام لو سمحت,information
40,ده انهى فرع لو سمحت,information
41,الدليفرى حيشتغل امتى,information
42,المنيو من فضلكم,menu
43,تيك اوي هيكون شغال يوم الخميس,information
44,لو عايز اعمل اوردر مفيش رقم تلفون,information
45,الحجز من الساعة كام,information
46,الحجز ازاي طيب,Reservation system
47,في دليفري لمدينتي,information
48, عايز احجز انا وصحابي المقربين يوم الخميس القادم اذاي ,Reservation system
49,طب لو سمحتوا في ديلفري ﻻول السلام اردر كبير شويه لعزومه,information
50,هو مممكن فرد واحد يحجز لمجمموعه كامله لو جه بدري ولا لازم كل الناس يكونو موجودين من بدري ؟,Reservation system
51,هل الدليفرى بيوصل عين شمس,information
52,والمفروض اطلب الاوردر قبلها باد اية,Reservation system
53,انتوا شغالين بكره,information
54,"هو في ضريبة قيمة مضافة و12%,خدمة ع الاكل ولا ايه النظام",prices
55,ممكن رقم تليفون للتواصل,information
56,من فضلك هتكونو شغالين أيام العيد,information
57,ممكن العنوان بالظبط لو سمحت,information
58,ايه انسب وقت اجي فيه بعد الفطار,Reservation system
59,الأسعار عندكم شاملة الضريبة والخدمة,prices
60,ممكن قايمه الاسعار,menu
61,شغالين لحد كام بالليل,information
62,ممكن اعرف رقم فرع عباس العقاد,information
63,ممكن اعرف انتو عاملين أية عروض فى رمضان,offers
64,لو سمحت اقدر اعرف ممكن توصيل طلبات فى فيصل الجيزة,information
65,انا عوزه احجز بس انا بعيده ومش هادر اجى الفرع اعمل ايه,Reservation system
66,ممكن عنوان فرع مصر الجديدة ورقم التليفون,information
67,هو في منيو جديد لرمضان ولا زي ما هو,menu
68,فرع النادي الاهلي مفتوح و الا لأ,information
69,بحاول اتصل عشان احجز لبكره فطار ومش عارفه اوصل,Reservation system
70,طب ممكن رقم الحجز عايز احجز لخمس أفراد,Reservation system
71,لو سمحتوا يتوصلوا لثكنات المعادي ولا لا,information
72,هل يوجد توصيل للتجمع الأول,information
73,سعر الوجبه دى كام بقي,prices
74,ممكن اعرف ليكم فرع فى المهندسين ولا لا,information
75,الرقم مش شغال,information
76,فروعكوا فين,information
77,في فروع ف المعادي,information
78,الفروع لو سمحتو,information
79,السعر كام دلوقتي,prices
80,بكام الشطوره,prices
81,في حاجه جديده,menu
82,رقم الفون للحجز,information
83,العرض في فرع مدينه نصر؟,offers
84,العرض ساعه الفطار بس ولا بعد الفطار؟,offers
85,هل فيه خدمة توصيل الطلبات للمنازل؟,information
86,العرض ساري في فرع الرحاب؟,offers
87,ايه هي منيو السحور,menu
88,لازم حجز ولا نيجي عادي؟,Reservation system
89,ممكن المنيو بتاعت رمضان,menu
90,ممكن اعرف منيو رمضان بالاسعار,menu
91,فيه ضريبة وخدمة كام في المية؟,prices
92,هل بيتضاف خدمة وضريبة ؟,prices
93,ممكن عنوان,information
94,مكانكم فين ؟,information
95,فين فمدينة نصر,information
96,عنوان فرع مدينه نصر ؟,information
97,طيب اوردر الدليفري عليه ضريبة 14% زي المطعم ولا ايه النظام,prices
98,التوصيل لكوبري القبة بكام لز سمحت,prices
99,هو ممكن التوصيل للمرج الجديدة ولا لا,information
100,لو سمحت فيه توصيل مدينة الشروق طريق مصر الاسماعيليه,information
101,ممكن صور المنيو,menu
102,هو ممكن يجى المطريه عادى ولا لا,information
103,من فضلك هو الفروع كلها مفتوحه ولا الفرع الرئيسي مغلق,information
104,لو سمحت فى توصيل الى شبرا الخيمة من على الدائرى,information
105,فيه توصيل لاول الهرم من ناحية الجيزه ؟,information
106,في فرع موجود في مصر الجديده,information
107,لو سمحت نظام التيك اوي أيه,information
108,ياترى فيه خدمه توصيل للرحاب,information
109,لو في مطار امبابه فى توصيل والسعر,information
110,ممكن التوصيل فى حلوان,information
111,المطعم اشتغل ولا لسه,information
